cod_uf,cod_municipio,dsc_municipio,num_cnae,dsc_setor_1,dsc_setor_2,dsc_programa,dsc_linha_financiamento,dsc_atividade,dsc_porte,dsc_finalidade,num_operacao_contratada,vlr_contrato,dsc_fonte,num_ano,Tipologia_do_Municipio,Semiarido
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,126000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,645750,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,350000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,85000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,2,441000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,429999.84,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Médio I,Investimento,1,295000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,210000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,499000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,210000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,1395000.8,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Empresarial,Energia PF,-,Financiamento de Minigeração Elétrica PF,Pessoa Fisica,Mini/Micro,Investimento,1,11300,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,FCO Verde Conservação da Natureza,Pessoa Fisica,Pequeno-Médio,Investimento,1,499824.36,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,FCO Verde Conservação da Natureza,Pessoa Fisica,Pequeno,Investimento,1,430000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Empresarial,Energia PF,-,Financiamento de Minigeração Elétrica PF,Pessoa Fisica,Mini/Micro,Investimento,1,12150,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,FCO Verde Conservação da Natureza,Pessoa Fisica,Pequeno-Médio,Investimento,1,404725.35,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Mini/Micro,Investimento,1,282000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,225000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,FCO Verde Conservação da Natureza,Pessoa Fisica,Pequeno-Médio,Investimento,1,499919.59,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Mini/Micro,Investimento,1,137500,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,129420,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,2385000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,1240282.8,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,185000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,297000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,105673.5,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,377800,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,380000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,376000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,400000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,499000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,1912000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,-,Rural,Rural,-,Desenvolvimento Rural,-,Pequeno-Médio,Investimento,1,1493820,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,70500,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,86000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,50000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Mini/Micro,Investimento,1,389000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,-,Rural,Rural,-,Desenvolvimento Rural,-,Pequeno,Investimento,1,16016999.96,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,185000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,499999.9,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,65000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno-Médio,Investimento,1,344000,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,22713.6,FCO,2024,Alta Renda e Baixo Dinamismo,não
DF,5300108,BRASILIA,Pessoa Fisica,Rural,Rural,-,Desenvolvimento Rural,Pessoa Fisica,Pequeno,Investimento,1,22713.6,FCO,2024,Alta Renda e Baixo Dinamismo,não
