Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
SC-D-4215406-14110-19910107,Salto Veloso,SC,Sul,01/07/1991,01/07/1991,14110,4,Estiagem e Seca,Climatológico,4215406,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4313102-14110-19910112,Nova Palma,RS,Sul,01/12/1991,01/12/1991,14110,4,Estiagem e Seca,Climatológico,4313102,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4304952-14110-19910115,Caseiros,RS,Sul,01/15/1991,01/15/1991,14110,4,Estiagem e Seca,Climatológico,4304952,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4208609-14110-19910115,Jaborá,SC,Sul,01/15/1991,01/15/1991,14110,4,Estiagem e Seca,Climatológico,4208609,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4207650-14110-19910118,Iporã do Oeste,SC,Sul,01/18/1991,01/18/1991,14110,4,Estiagem e Seca,Climatológico,4207650,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4210902-14110-19910118,Modelo,SC,Sul,01/18/1991,01/18/1991,14110,4,Estiagem e Seca,Climatológico,4210902,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4211405-14110-19910118,Nova Erechim,SC,Sul,01/18/1991,01/18/1991,14110,4,Estiagem e Seca,Climatológico,4211405,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4215208-14110-19910118,Romelândia,SC,Sul,01/18/1991,01/18/1991,14110,4,Estiagem e Seca,Climatológico,4215208,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
AC-P-1200401-12200-19910121,Rio Branco,AC,Norte,01/21/1991,01/21/1991,12200,2,Enxurradas,Hidrológico,1200401,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4316204-14110-19910121,Rondinha,RS,Sul,01/21/1991,01/21/1991,14110,4,Estiagem e Seca,Climatológico,4316204,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4203105-14110-19910121,Caibi,SC,Sul,01/21/1991,01/21/1991,14110,4,Estiagem e Seca,Climatológico,4203105,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4216701-14110-19910121,São José do Cedro,SC,Sul,01/21/1991,01/21/1991,14110,4,Estiagem e Seca,Climatológico,4216701,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4217303-14110-19910121,Saudades,SC,Sul,01/21/1991,01/21/1991,14110,4,Estiagem e Seca,Climatológico,4217303,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4304903-14110-19910122,Casca,RS,Sul,01/22/1991,01/22/1991,14110,4,Estiagem e Seca,Climatológico,4304903,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4318606-14110-19910122,São José do Ouro,RS,Sul,01/22/1991,01/22/1991,14110,4,Estiagem e Seca,Climatológico,4318606,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4204400-14110-19910122,Coronel Freitas,SC,Sul,01/22/1991,01/22/1991,14110,4,Estiagem e Seca,Climatológico,4204400,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4204905-14110-19910122,Descanso,SC,Sul,01/22/1991,01/22/1991,14110,4,Estiagem e Seca,Climatológico,4204905,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4212106-14110-19910122,Palmitos,SC,Sul,01/22/1991,01/22/1991,14110,4,Estiagem e Seca,Climatológico,4212106,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4308052-14110-19910123,Faxinalzinho,RS,Sul,01/23/1991,01/23/1991,14110,4,Estiagem e Seca,Climatológico,4308052,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4308508-14110-19910123,Frederico Westphalen,RS,Sul,01/23/1991,01/23/1991,14110,4,Estiagem e Seca,Climatológico,4308508,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4311155-14110-19910124,Jóia,RS,Sul,01/24/1991,01/24/1991,14110,4,Estiagem e Seca,Climatológico,4311155,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4311700-14110-19910124,Machadinho,RS,Sul,01/24/1991,01/24/1991,14110,4,Estiagem e Seca,Climatológico,4311700,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4321857-14110-19910125,Três Palmeiras,RS,Sul,01/25/1991,01/25/1991,14110,4,Estiagem e Seca,Climatológico,4321857,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
